User Name,Rumi,kusa,Neptune,HooKnows,Honobruh,Dyrea,Wumbo,Coolguy,Trios
Ranked List,1. ニュートラル - KALEIDOSCORE,1. What a Wonderful Dream!! - Liella!,1. Dazzling Game - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,1. Day1 - Liella!,1. ルカ - ウィーン・マルガレーテ,1. Shooting Voice!! - Liella!,1. QUESTION99 - Liella!,1. ビタミンSUMMER！ - Liella!,1. Aspire - Liella!
,2. 不可視なブルー - KALEIDOSCORE,2. Wish Song - Liella!,2. ガラスボールリジェクション - 若菜四季,2. この街でいまキミと - Liella!,2. ノンフィクション!! - Liella!,2. 始まりは君の空 - Liella!,2. ニュートラル - KALEIDOSCORE,2. Go!! リスタート - Liella!,2. Welcome to 僕らのセカイ - Liella!
👉 CLICK SYNC IN THE MENU ABOVE TO UPDATE ALL SHEETS 🚀,3. ベロア - KALEIDOSCORE,3. 未来予報ハレルヤ！ - Liella!,3. 茜心 - 米女メイ,3. Dazzling Game - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,3. Aspire - Liella!,3. START!! True dreams - Liella!,3. ルカ - ウィーン・マルガレーテ,3. TO BE CONTINUED - Liella!,3. ワイルドカード - 鬼塚冬毬
,4. 真っ赤。 - Liella!,4. Starlight Prologue - Liella!,4. 罪DA・YO・NE - 米女メイ、若菜四季,4. ルカ - ウィーン・マルガレーテ,4. いつものピースサイン - Liella!,4. Dream Rainbow - Liella!,4. Day1 - Liella!,4. START!! True dreams - Liella!,4. Jump Into the New World - Liella!
,5. Bubble Rise - 澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,5. 探して！Future - Liella!,5. UNIVERSE!! - Liella!,5. Bubble Rise - 澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,5. Dazzling Game - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,5. 私のSymphony - Liella!,5. ワイルドカード - 鬼塚冬毬,5. Day1 - Liella!,5. 真っ赤。 - Liella!
,6. 絶対的LOVER - Liella!、澁谷かのん、ウィーン・マルガレーテ、鬼塚冬毬,6. 始まりは君の空 - Liella!,6. 想われマリオネット - 澁谷かのん、嵐 千砂都、葉月 恋、鬼塚夏美、ウィーン・マルガレーテ,6. ビタミンSUMMER！ - Liella!,6. 始まりは君の空 - Liella!,6. UNIVERSE!! - Liella!,6. 勇気のカケラ - 嵐 千砂都,6. Tiny Stars - 澁谷かのん、唐 可可,6. START!! True dreams - Liella!
,7. Welcome to 僕らのセカイ - Liella!,7. 笑顔のPromise - Liella!,7. Second Sparkle - Liella!,7. ワイルドカード - 鬼塚冬毬,7. 真っ赤。 - Liella!,7. 揺らぐわ - Liella!,7. LiLiA - 若菜四季,7. Let's be ONE - Liella!,7. 茜心 - 米女メイ
,8. MIRACLE NEW STORY - Liella!,8. WE WILL!! - Liella!,8. OPEN THE G☆TE!!! - Liella!,8. オレンジのままで - Liella!,8. Rhythm - 嵐 千砂都,8. Aspire - Liella!,8. Sky Linker - 米女メイ,8. オレンジのままで - Liella!,8. アイコトバ！ - Liella!
,9. 想われマリオネット - 澁谷かのん、嵐 千砂都、葉月 恋、鬼塚夏美、ウィーン・マルガレーテ,9. Aspire - Liella!,9. 結ぶメロディ - Liella!,9. Starlight Prologue - Liella!,9. Tiny Stars - 澁谷かのん、唐 可可,9. ユニゾン - Liella!,9. Wish Song - Liella!,9. Aspire - Liella!,9. 未来は風のように - Liella!
,10. OPEN THE G☆TE!!! - Liella!,10. エーデルシュタイン - ウィーン・マルガレーテ,10. DAISUKI FULL POWER - Liella!,10. カメリアの囁き - KALEIDOSCORE,10. Ringing! - 嵐 千砂都,10. だから僕らは鳴らすんだ！ - Liella!,10. Till Sunrise - Sunny Passion,10. アイコトバ！ - Liella!,10. ベロア - KALEIDOSCORE
